9 #edges
0;23;29;30;33;35;54;58;62;79;98 9;12;14;17;24;57;66;78;82;85;91;92
0;23;29;30;33;35;54;58;62;79;98 2;25;31;39;41;45;48;51;59;74;80;83;95
9;12;14;17;24;57;66;78;82;85;91;92 7;20;43;70;97
7;20;43;70;97 4;13;21;37;44;46;50;52;63;67;77;89;99
4;13;21;37;44;46;50;52;63;67;77;89;99 8;16;22;26;38;40;56;75;76;81;93
8;16;22;26;38;40;56;75;76;81;93 1;36;47;53;55;64;69;72;73
8;16;22;26;38;40;56;75;76;81;93 3;10;15;34;60;68;71;87;88;90
1;36;47;53;55;64;69;72;73 5;11;19;42;65;86;96
5;11;19;42;65;86;96 6;18;27;28;32;49;61;84;94
3 #leaves
2;25;31;39;41;45;48;51;59;74;80;83;95 
3;10;15;34;60;68;71;87;88;90 
6;18;27;28;32;49;61;84;94 
